ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
G03AB08,G,G03,G03A,G03AB,G03AB08
G03AB09,G,G03,G03A,G03AB,G03AB09
G03AC03,G,G03,G03A,G03AC,G03AC03
G03AC05,G,G03,G03A,G03AC,G03AC05
G03AC08,G,G03,G03A,G03AC,G03AC08
G03AC09,G,G03,G03A,G03AC,G03AC09
G03AC10,G,G03,G03A,G03AC,G03AC10
G03AD01,G,G03,G03A,G03AD,G03AD01
G03AD02,G,G03,G03A,G03AD,G03AD02
G03BA03,G,G03,G03B,G03BA,G03BA03
G03CA01,G,G03,G03C,G03CA,G03CA01
G03CA03,G,G03,G03C,G03CA,G03CA03
G03CA53,G,G03,G03C,G03CA,G03CA53
G03DB01,G,G03,G03D,G03DB,G03DB01
G03DB02,G,G03,G03D,G03DB,G03DB02
G03EA01,G,G03,G03E,G03EA,G03EA01
G03EA02,G,G03,G03E,G03EA,G03EA02
G03EA03,G,G03,G03E,G03EA,G03EA03
G03FA01,G,G03,G03F,G03FA,G03FA01
G03FA02,G,G03,G03F,G03FA,G03FA02
G03FA03,G,G03,G03F,G03FA,G03FA03
G03FA04,G,G03,G03F,G03FA,G03FA04
G03FA05,G,G03,G03F,G03FA,G03FA05
G03FA06,G,G03,G03F,G03FA,G03FA06
G03FA07,G,G03,G03F,G03FA,G03FA07
G03FA08,G,G03,G03F,G03FA,G03FA08
G03FA09,G,G03,G03F,G03FA,G03FA09
G03FA10,G,G03,G03F,G03FA,G03FA10
G03FA11,G,G03,G03F,G03FA,G03FA11
G03FA12,G,G03,G03F,G03FA,G03FA12
G03FA13,G,G03,G03F,G03FA,G03FA13
G03FA14,G,G03,G03F,G03FA,G03FA14
G03FA15,G,G03,G03F,G03FA,G03FA15
G03FA16,G,G03,G03F,G03FA,G03FA16
G03FA17,G,G03,G03F,G03FA,G03FA17
G03FB01,G,G03,G03F,G03FB,G03FB01
G03FB02,G,G03,G03F,G03FB,G03FB02
G03FB03,G,G03,G03F,G03FB,G03FB03
G03FB04,G,G03,G03F,G03FB,G03FB04
G03FB05,G,G03,G03F,G03FB,G03FB05
G03FB06,G,G03,G03F,G03FB,G03FB06
G03FB07,G,G03,G03F,G03FB,G03FB07
G03FB08,G,G03,G03F,G03FB,G03FB08
G03FB09,G,G03,G03F,G03FB,G03FB09
G03FB10,G,G03,G03F,G03FB,G03FB10
G03FB11,G,G03,G03F,G03FB,G03FB11
G03FB12,G,G03,G03F,G03FB,G03FB12
G03HB01,G,G03,G03H,G03HB,G03HB01
G03XB02,G,G03,G03X,G03XB,G03XB02
G03AA01,G,G03,G03A,G03AA,G03AA01
G03AA02,G,G03,G03A,G03AA,G03AA02
G03AA03,G,G03,G03A,G03AA,G03AA03
G03AA04,G,G03,G03A,G03AA,G03AA04
G03AA05,G,G03,G03A,G03AA,G03AA05
G03AA06,G,G03,G03A,G03AA,G03AA06
G03AA07,G,G03,G03A,G03AA,G03AA07
G03AA08,G,G03,G03A,G03AA,G03AA08
G03AA09,G,G03,G03A,G03AA,G03AA09
G03AA10,G,G03,G03A,G03AA,G03AA10
G03AA11,G,G03,G03A,G03AA,G03AA11
G03AA12,G,G03,G03A,G03AA,G03AA12
G03AA13,G,G03,G03A,G03AA,G03AA13
G03AA14,G,G03,G03A,G03AA,G03AA14
G03AA15,G,G03,G03A,G03AA,G03AA15
G03AA16,G,G03,G03A,G03AA,G03AA16
G03AA17,G,G03,G03A,G03AA,G03AA17
G04BD07,G,G04,G04B,G04BD,G04BD07
G04CA01,G,G04,G04C,G04CA,G04CA01
G04CA02,G,G04,G04C,G04CA,G04CA02
G04CA51,G,G04,G04C,G04CA,G04CA51
G04CA52,G,G04,G04C,G04CA,G04CA52
G04CA53,G,G04,G04C,G04CA,G04CA53
G04CB01,G,G04,G04C,G04CB,G04CB01
G04CB02,G,G04,G04C,G04CB,G04CB02
H02AB01,H,H02,H02A,H02AB,H02AB01
H02AB02,H,H02,H02A,H02AB,H02AB02
H02AB04,H,H02,H02A,H02AB,H02AB04
H02AB06,H,H02,H02A,H02AB,H02AB06
