drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
N06AX12,L02BA01,ringe dokumenteret,mulig,1,N,L,L02BA01_N06AX12
N06AB08,N06AA02,veldokumenteret,moderat,1,N,N,N06AB08_N06AA02
D01BA02,N06AA02,dokumenteret,udtalt,1,D,N,D01BA02_N06AA02
G03AA12,N03AF04,dokumenteret,moderat,1,G,N,G03AA12_N03AF04
G03FB05,N03AF04,dokumenteret,mulig,1,G,N,G03FB05_N03AF04
G03FA14,N03AA02,begrænset dokumenteret,moderat,1,G,N,G03FA14_N03AA02
G03FB08,N03AX11,dokumenteret,moderat,1,G,N,G03FB08_N03AX11
L02AB02,N03AF04,dokumenteret,mulig,1,L,N,L02AB02_N03AF04
S01XA18,C10BA03,veldokumenteret,udtalt,1,S,C,C10BA03_S01XA18
G03AB05,N03AF02,dokumenteret,moderat,1,G,N,G03AB05_N03AF02
G03AA09,N03AF04,dokumenteret,moderat,1,G,N,G03AA09_N03AF04
J02AC03,N06AX25,dokumenteret,moderat,1,J,N,J02AC03_N06AX25
G03FB05,N03AF01,veldokumenteret,moderat,1,G,N,G03FB05_N03AF01
L01XA01,S01AA12,begrænset dokumenteret,moderat,1,L,S,L01XA01_S01AA12
J02AC05,J04AB02,dokumenteret,udtalt,1,J,J,J02AC05_J04AB02
G03CA04,N03AF04,dokumenteret,moderat,1,G,N,G03CA04_N03AF04
G03FA17,N03AF02,dokumenteret,moderat,1,G,N,G03FA17_N03AF02
L02AB02,N03AF02,dokumenteret,moderat,1,L,N,L02AB02_N03AF02
G03AB08,N03AF02,dokumenteret,moderat,1,G,N,G03AB08_N03AF02
G03FB08,N06AX25,veldokumenteret,moderat,1,G,N,G03FB08_N06AX25
G02BA03,N06AX25,veldokumenteret,moderat,1,G,N,G02BA03_N06AX25
G03CA04,N03AX11,dokumenteret,moderat,1,G,N,G03CA04_N03AX11
J05AR04,J05AF04,ringe dokumenteret,mulig,1,J,J,J05AF04_J05AR04
N06AX12,N03AF01,dokumenteret,udtalt,1,N,N,N03AF01_N06AX12
